Station,Date,Value
TRI-064,2014-08-19T13:55:00Z,10.00
TRI-064,2014-09-10T13:55:00Z,10.00
TRI-064,2014-09-24T14:33:00Z,10.00
TRI-064,2015-05-06T14:54:00Z,10.00
TRI-064,2015-05-20T14:19:00Z,10.00
TRI-064,2015-06-08T14:30:00Z,10.00
TRI-064,2015-06-17T13:48:00Z,10.00
TRI-064,2015-07-08T14:44:00Z,10.00
TRI-064,2015-07-22T12:51:00Z,10.00
TRI-064,2015-08-04T13:40:00Z,10.00
TRI-064,2015-08-19T14:50:00Z,10.00
TRI-064,2015-09-16T15:16:00Z,10.00
TRI-064,2015-09-29T16:00:00Z,41.00
TRI-064,2016-05-04T14:36:00Z,10.00
TRI-064,2016-05-18T15:13:00Z,10.00
TRI-064,2016-06-15T14:36:00Z,10.00
TRI-064,2016-06-29T14:10:00Z,10.00
TRI-064,2016-07-13T14:40:00Z,10.00
TRI-064,2016-07-27T13:39:00Z,10.00
TRI-064,2016-08-10T13:41:00Z,10.00
TRI-064,2016-08-22T14:23:00Z,10.00
TRI-064,2016-09-14T13:44:00Z,10.00
TRI-064,2016-09-28T13:53:00Z,10.00
TRI-064,2017-05-03T14:45:00Z,10.00
TRI-064,2017-05-17T13:56:00Z,10.00
TRI-064,2017-06-06T14:15:00Z,10.00
TRI-064,2017-06-21T15:10:00Z,10.00
TRI-064,2017-07-12T14:44:00Z,10.00
TRI-064,2017-07-26T15:10:00Z,10.00
TRI-064,2017-08-07T13:48:00Z,10.00
TRI-064,2017-08-28T13:21:00Z,10.00
TRI-064,2017-08-28T13:21:00Z,10.00
TRI-064,2017-09-06T14:32:00Z,10.00
TRI-064,2017-09-27T14:47:00Z,10.00
TRI-064,2018-05-07T14:30:00Z,20.00
TRI-064,2018-05-21T13:50:00Z,10.00
TRI-064,2018-06-04T14:10:00Z,10.00
TRI-064,2018-06-18T13:55:00Z,10.00
TRI-064,2018-07-09T15:05:00Z,10.00
TRI-064,2018-07-23T14:35:00Z,10.00
TRI-064,2018-08-06T14:15:00Z,10.00
TRI-064,2018-08-22T13:30:00Z,10.00
TRI-064,2018-09-26T14:00:00Z,10.00
