Station,Date,Value
TRI-064,2005-04-19T16:10:00Z,10.00
TRI-064,2005-05-03T15:49:00Z,10.00
TRI-064,2005-05-17T16:48:00Z,199.00
TRI-064,2005-05-18T18:43:00Z,30.00
TRI-064,2005-06-06T14:38:00Z,10.00
TRI-064,2005-06-21T17:57:00Z,10.00
TRI-064,2005-07-11T17:33:00Z,10.00
TRI-064,2005-07-25T15:37:00Z,10.00
TRI-064,2005-08-09T16:27:00Z,20.00
TRI-064,2005-08-22T17:51:00Z,10.00
TRI-064,2006-04-19T16:11:00Z,10.00
TRI-064,2006-05-09T15:47:00Z,10.00
TRI-064,2006-05-24T14:48:00Z,10.00
TRI-064,2006-06-20T14:30:00Z,10.00
TRI-064,2006-07-11T15:40:00Z,10.00
TRI-064,2006-07-25T16:10:00Z,10.00
TRI-064,2006-08-08T16:51:00Z,10.00
TRI-064,2006-10-03T17:07:00Z,10.00
TRI-064,2007-05-14T16:55:00Z,10.00
TRI-064,2007-05-21T17:38:00Z,10.00
TRI-064,2007-06-05T16:24:00Z,10.00
TRI-064,2007-06-18T17:06:00Z,10.00
TRI-064,2007-07-10T16:34:00Z,10.00
TRI-064,2007-07-24T17:41:00Z,63.00
TRI-064,2007-08-06T17:14:00Z,20.00
TRI-064,2007-08-20T15:45:00Z,10.00
TRI-064,2007-09-11T15:35:00Z,10.00
TRI-064,2007-09-25T15:50:00Z,20.00
TRI-064,2007-10-08T16:26:00Z,10.00
TRI-064,2008-04-21T18:03:00Z,10.00
TRI-064,2008-05-13T15:17:00Z,10.00
TRI-064,2008-05-20T15:52:00Z,10.00
TRI-064,2008-06-04T15:50:00Z,20.00
TRI-064,2008-06-17T15:31:00Z,10.00
TRI-064,2008-07-09T14:20:00Z,10.00
TRI-064,2008-07-22T14:20:00Z,10.00
TRI-064,2008-08-12T14:47:00Z,83.00
TRI-064,2008-08-26T15:44:00Z,10.00
TRI-064,2008-09-09T17:20:00Z,10.00
TRI-064,2008-09-30T14:13:00Z,10.00
TRI-064,2008-10-07T14:43:00Z,10.00
TRI-064,2009-05-06T15:04:00Z,10.00
TRI-064,2009-06-03T15:20:00Z,10.00
TRI-064,2009-06-17T14:58:00Z,10.00
TRI-064,2009-07-07T14:43:00Z,10.00
TRI-064,2009-07-21T15:03:00Z,20.00
TRI-064,2009-08-05T15:35:00Z,31.00
TRI-064,2009-08-18T15:22:00Z,10.00
TRI-064,2009-09-02T15:04:00Z,10.00
TRI-064,2009-09-15T15:15:00Z,10.00
TRI-064,2009-10-14T14:51:00Z,10.00
TRI-064,2010-04-20T14:29:00Z,10.00
TRI-064,2010-05-04T15:30:00Z,20.00
TRI-064,2010-05-18T15:09:00Z,10.00
TRI-064,2010-06-15T14:33:00Z,10.00
TRI-064,2010-06-22T14:23:00Z,10.00
TRI-064,2010-07-13T14:10:00Z,10.00
TRI-064,2010-07-28T14:43:00Z,10.00
TRI-064,2010-08-10T14:42:00Z,10.00
TRI-064,2010-08-25T14:43:00Z,10.00
TRI-064,2010-09-01T14:01:00Z,10.00
TRI-064,2010-09-22T14:27:00Z,10.00
TRI-064,2010-10-13T14:47:00Z,10.00
TRI-064,2011-05-04T15:27:00Z,10.00
TRI-064,2011-05-18T15:33:00Z,10.00
TRI-064,2011-06-08T15:05:00Z,10.00
TRI-064,2011-06-22T15:25:00Z,10.00
TRI-064,2011-07-13T14:53:00Z,249.00
TRI-064,2011-07-15T14:05:00Z,10.00
TRI-064,2011-07-27T14:20:00Z,185.00
TRI-064,2011-07-28T14:00:00Z,10.00
TRI-064,2011-08-09T14:47:00Z,10.00
TRI-064,2011-08-22T14:40:00Z,10.00
TRI-064,2011-09-12T14:59:00Z,10.00
TRI-064,2011-09-28T14:59:00Z,10.00
TRI-064,2011-10-05T15:00:00Z,10.00
TRI-064,2012-05-16T14:59:00Z,10.00
TRI-064,2012-06-07T13:21:00Z,10.00
TRI-064,2012-06-25T14:10:00Z,10.00
TRI-064,2012-07-31T17:00:00Z,10.00
TRI-064,2012-08-21T14:40:00Z,10.00
TRI-064,2012-08-29T14:42:00Z,10.00
TRI-064,2012-09-12T14:58:00Z,10.00
TRI-064,2012-09-26T15:13:00Z,10.00
TRI-064,2012-10-10T14:41:00Z,20.00
TRI-064,2013-05-15T15:07:00Z,10.00
TRI-064,2013-06-05T13:40:00Z,10.00
TRI-064,2013-06-19T14:27:00Z,10.00
TRI-064,2013-07-10T14:20:00Z,10.00
TRI-064,2013-07-24T14:45:00Z,10.00
TRI-064,2013-08-07T15:00:00Z,10.00
TRI-064,2013-08-20T17:12:00Z,20.00
TRI-064,2013-08-20T17:12:00Z,20.00
TRI-064,2013-09-11T14:34:00Z,10.00
TRI-064,2013-09-25T14:46:00Z,20.00
TRI-064,2013-10-09T15:11:00Z,379.00
TRI-064,2013-10-10T15:43:00Z,10.00
TRI-064,2014-05-07T15:20:00Z,650.00
TRI-064,2014-05-12T19:45:00Z,52.00
TRI-064,2014-05-19T17:35:00Z,10.00
TRI-064,2014-06-10T13:20:00Z,10.00
TRI-064,2014-06-25T14:34:00Z,10.00
TRI-064,2014-07-09T14:25:00Z,10.00
TRI-064,2014-07-23T13:50:00Z,10.00
TRI-064,2014-08-06T13:20:00Z,30.00
