Station,Date,Value
TRI-065,2017-07-12T14:53:00Z,10.00
TRI-065,2017-07-26T15:23:00Z,10.00
TRI-065,2017-08-07T13:57:00Z,10.00
TRI-065,2017-08-28T13:30:00Z,10.00
TRI-065,2017-08-28T13:30:00Z,10.00
TRI-065,2017-09-06T14:45:00Z,10.00
TRI-065,2017-09-27T14:59:00Z,20.00
TRI-065,2018-05-07T14:21:00Z,10.00
TRI-065,2018-05-21T14:46:00Z,10.00
TRI-065,2018-06-04T14:20:00Z,10.00
TRI-065,2018-06-18T14:10:00Z,10.00
TRI-065,2018-07-09T15:18:00Z,10.00
TRI-065,2018-07-23T14:45:00Z,10.00
TRI-065,2018-08-06T14:30:00Z,10.00
TRI-065,2018-08-22T13:42:00Z,20.00
TRI-065,2018-09-26T14:08:00Z,10.00
